card_company,card_name,promotions,all_promotions,fee,perform,brand,rank,chart_in
신한카드,신한카드 Mr.Life,"공과금 10%할인 && 마트,편의점 10%할인 && 식음료 10%할인",월납요금(공과금) 10% 할인서비스 && 편의점 10% 할인 && 병원/약국업종 10% 할인 && 세탁소 업종 10% 할인 && 온라인 쇼핑 10% 할인  && 택시 10% 할인  && 식음료 10% 할인 && 3대 마트 10% 할인 && 4대 정유사 리터당 60원 할인 &&  인테이크몰 20% 할인,해외겸용 15000원,30,VISA,4.951612903225806,1.0
KB국민카드,KB국민 My WE:SH 카드,KB Pay 10%할인 && 음식점 10%할인 && 서비스팩 3개 중 1개선택할인,"[나한테 진심 서비스] KB Pay 10% 할인 && [나한테 진심 서비스] 음식점, 편의점 10% 할인 && [나한테 진심 서비스] 이동통신요금 10% 할인 && [나한테 진심 서비스] OTT 30% 할인 && [더욱 진심 서비스] 먹는데 진심-배달/커피 5% 할인 && [더욱 진심 서비스] 노는데 진심-택시/커피 5%, 영화관 30% 할인 && [더욱 진심 서비스] 관리에 진심-미용실, 스포츠, 온라인서점, 올리브영 5% 할인 && WE:SH 서비스 && 카드 플레이트 선택 가능",국내전용 15000원  해외겸용 15000원,40,Mastercard AMEX,1.0,1.0
삼성카드,삼성카드 & MILEAGE PLATINUM (스카이패스),"1,000원당 1마일기본적립 && 커피/주유 2마일특별적립 && 인천공항 라운지무료이용","모든 가맹점 이용금액 1,000원당 1마일리지 기본적립 && 백화점 이용금액 1,000원당 2마일리지 특별적립 && 주유 이용금액 1,000원당 2마일리지 특별적립 && 커피 이용금액 1,000원당 2마일리지 특별적립 && 편의점 이용금액 1,000원당 2마일리지 특별적립 && 택시 이용금액 1,000원당 2마일리지 특별적립 && 인천공항 라운지 본인 무료 이용 && 인천공항 발렛파킹 무료 이용 && 공항 커피 서비스 && 아멕스 PLATINUM 등급 서비스 && 여행의 설레임을 담은 디자인으로 리뉴얼 된 삼성카드 & MILEAGE PLATINUM",국내전용 47000원  해외겸용 49000원,0,AMEX,11.064516129032258,1.0
신한카드,신한카드 Deep Dream,모두드림 0.7%적립 && 더해드림 2.1%적립 && 챙겨드림 3.5%적립,"모두드림 - 전월 실적/적립 한도 없이 국내/외 신판(일시불+할부)이용 가맹점 0.7% 포인트 적립 && 더해드림 - 자주 가는 DREAM영역은 기본의 3배(총 2.1%) 포인트 적립 && 챙겨드림 - DREAM영역 중 가장 많이 이용한 영역 기본의 5배(총 3.5%) 포인트 자동적립 && 주말(토, 일) 전 주유소 리터당 80원 적립 && 택시 3, 6, 9번째 2,000원 할인 && 반겨드림 5,000포인트 적립",해외겸용 8000원,0,VISA UnionPay,5.112903225806452,1.0
롯데카드,LOCA LIKIT 1.2,모든가맹점 1.2%할인 && 온라인 1.5%할인,"어디서나 1.2% 결제일 할인국내 모든 가맹점 1.2%, 해외 모든 이용금액 1.2% && 온라인 1.5% 결제일 할인",국내전용 10000원  해외겸용 10000원,0,Mastercard AMEX,11.535714285714286,1.0
하나카드,JADE Classic,바우처 최대 10만원제공 && 전세계 공항라운지 연 3회 무료이용 && 국내외 가맹점 1%하나머니 적립,"[PREMIUM VOUCHER] 바우처 5가지 중 1가지를 선택하여 이용 (연 1회) && 전세계 공항 라운지 무료이용(본인/가족/동반자 통합 연 3회, 일 3회) && [기본 적립] 국내외 가맹점 1% 하나머니 적립 && [특별 적립] 영역별 1.5~1.2% 하나머니 적립 제공 && 디지털 컨텐츠 자동이체 시, 50% 하나머니 적립 제공 && 커피 이용금액 50% 하나머니 적립 제공 && 택시 이용금액 50% 하나머니 적립 제공",국내전용 115000원  해외겸용 120000원,0,VISA,89.0,1.0
삼성카드,삼성카드 taptap O,"스타벅스 50%할인 && 대중교통 10%할인 && CGV, 롯데시네마 5,000원할인","라이프스타일 패키지 선택 && 대중교통·택시 10% 결제일할인 && 이동통신요금 10% 결제일할인 && CGV 및 롯데시네마 5,000원 결제일할인",국내전용 10000원  해외겸용 10000원,30,Mastercard,5.693548387096774,1.0
NH농협카드,올바른 FLEX 카드,커피 50%할인 && 스트리밍 20%할인 && 영화 30%할인,"스타벅스(사이렌오더 포함) 50% 청구할인 && 유튜브프리미엄, 넷플릭스, 멜론 정기결제 20% 청구할인배달의민족, 요기요 10% 청구할인 && CGV, 롯데시네마 30% 청구할인 && 지하철, 버스 7% 청구할인SKT, KT, LGU+ 7% 청구할인 && 쿠팡, G마켓, 11번가, 티몬, 농협몰 5% 청구할인CU, GS25 5% 청구할인 && 올원페이(NH앱카드)로 결제 시 건당 1천원 청구할인 && 국제공항 라운지 무료이용 연 1회 제공",국내전용 10000원  해외겸용 12000원,30,VISA,9.75609756097561,1.0
신한카드,K-패스 신한카드,대중교통 10%할인 && 간편결제 5%할인 && 생활 부문 5%할인,"대중교통(버스, 지하철) 이용 시 10% 결제일 할인 && 간편결제로 결제 시 5% 결제일 할인 && 생활서비스 5% 결제일 할인",국내전용 7000원  해외겸용 10000원,30,Mastercard,0.0,0.0
롯데카드,LOCA 365 카드,"아파트관리비, 공과금 10%할인 && 교통, 통신, 배달앱 10%할인 && 스트리밍 1,500원할인","[생활업종]아파트관리비 10% 할인 && [생활업종]공과금(도시가스비, 전기료) 10% 할인 && [생활업종]대중교통 10% 할인 && [생활업종]SKT, KT, LG U+ 10% 할인 && [생활업종]배달의 민족, 요기요, 쿠팡이츠 10% 할인 && [생활업종]생명보험, 손해보험 10% 할인 && [생활업종]학습지 10% 할인 && [생활업종]넷플릭스, 유튜브, 왓챠, 멜론, 지니뮤직, 디즈니 플러스 1,500원 할인 && 국내 가맹점 2~3개월 무이자 할부",국내전용 20000원  해외겸용 20000원,50,Mastercard AMEX,13.91304347826087,1.0
