date,rank,card_name,card_company,card_href
2023-01-31,1,始發(시발)카드,BC 바로카드,https://card-gorilla.com/card/detail/2418
2023-01-31,2,BC 바로 클리어 플러스,BC 바로카드,https://card-gorilla.com/card/detail/2346
2023-01-31,3,BC 바로 페이백 플러스,BC 바로카드,https://card-gorilla.com/card/detail/2348
2023-01-31,4,BC 바로 리워드 플러스,BC 바로카드,https://card-gorilla.com/card/detail/2347
2023-01-31,5,밸런스 카드,BC 바로카드,https://card-gorilla.com/card/detail/2271
2023-01-31,6,신세계 BC 바로 SEVEN FLEX,BC 바로카드,https://card-gorilla.com/card/detail/2383
2023-01-31,7,신세계 BC 바로 콰트로 플러스,BC 바로카드,https://card-gorilla.com/card/detail/2380
2023-01-31,8,신세계 BC 바로 리워드 플러스,BC 바로카드,https://card-gorilla.com/card/detail/2382
2023-01-31,9,블랙핑크 카드,BC 바로카드,https://card-gorilla.com/card/detail/2210
2023-01-31,10,신세계 BC 바로 아시아나 플러스,BC 바로카드,https://card-gorilla.com/card/detail/2381
2023-02-28,1,始發(시발)카드,BC 바로카드,https://card-gorilla.com/card/detail/2418
2023-02-28,2,BC 바로 클리어 플러스,BC 바로카드,https://card-gorilla.com/card/detail/2346
2023-02-28,3,BC 바로 페이백 플러스,BC 바로카드,https://card-gorilla.com/card/detail/2348
2023-02-28,4,BC 바로 리워드 플러스,BC 바로카드,https://card-gorilla.com/card/detail/2347
2023-02-28,5,밸런스 카드,BC 바로카드,https://card-gorilla.com/card/detail/2271
2023-02-28,6,BC 바로 에어 플러스 스카이패스,BC 바로카드,https://card-gorilla.com/card/detail/2458
2023-02-28,7,신세계 BC 바로 콰트로 플러스,BC 바로카드,https://card-gorilla.com/card/detail/2380
2023-02-28,8,신세계 BC 바로 SEVEN FLEX,BC 바로카드,https://card-gorilla.com/card/detail/2383
2023-02-28,9,신세계 BC 바로 리워드 플러스,BC 바로카드,https://card-gorilla.com/card/detail/2382
2023-02-28,10,신세계 BC 바로 아시아나 플러스,BC 바로카드,https://card-gorilla.com/card/detail/2381
2023-03-31,1,BC 바로 클리어 플러스,BC 바로카드,https://card-gorilla.com/card/detail/2346
2023-03-31,2,BC 바로 페이백 플러스,BC 바로카드,https://card-gorilla.com/card/detail/2348
2023-03-31,3,始發(시발)카드,BC 바로카드,https://card-gorilla.com/card/detail/2418
2023-03-31,4,BC 바로 리워드 플러스,BC 바로카드,https://card-gorilla.com/card/detail/2347
2023-03-31,5,밸런스 카드,BC 바로카드,https://card-gorilla.com/card/detail/2271
2023-03-31,6,BC 바로 에어 플러스 스카이패스,BC 바로카드,https://card-gorilla.com/card/detail/2458
2023-03-31,7,신세계 BC 바로 콰트로 플러스,BC 바로카드,https://card-gorilla.com/card/detail/2380
2023-03-31,8,신세계 BC 바로 SEVEN FLEX,BC 바로카드,https://card-gorilla.com/card/detail/2383
2023-03-31,9,신세계 BC 바로 리워드 플러스,BC 바로카드,https://card-gorilla.com/card/detail/2382
2023-03-31,10,K-FIRST (모바일전용),BC 바로카드,https://card-gorilla.com/card/detail/2489
2023-04-30,1,始發(시발)카드,BC 바로카드,https://card-gorilla.com/card/detail/2418
2023-04-30,2,BC 바로 클리어 플러스,BC 바로카드,https://card-gorilla.com/card/detail/2346
2023-04-30,3,BC 바로 페이백 플러스,BC 바로카드,https://card-gorilla.com/card/detail/2348
2023-04-30,4,BC 바로 리워드 플러스,BC 바로카드,https://card-gorilla.com/card/detail/2347
2023-04-30,5,밸런스 카드,BC 바로카드,https://card-gorilla.com/card/detail/2271
2023-04-30,6,BC 바로 에어 플러스 스카이패스,BC 바로카드,https://card-gorilla.com/card/detail/2458
2023-04-30,7,신세계 BC 바로 콰트로 플러스,BC 바로카드,https://card-gorilla.com/card/detail/2380
2023-04-30,8,K-FIRST (모바일전용),BC 바로카드,https://card-gorilla.com/card/detail/2489
