date,rank,card_name,card_company,card_href
2019-01-31,1,LIKIT FUN 카드,롯데카드,None
2019-01-31,2,삼성카드 taptap O,삼성카드,https://card-gorilla.com/card/detail/51
2019-01-31,3,신한카드 Deep Dream,신한카드,https://card-gorilla.com/card/detail/32
2019-01-31,4,NEW 씨티 클리어,씨티카드,https://card-gorilla.com/card/detail/101
2019-01-31,5,DA@카드의정석,우리카드,https://card-gorilla.com/card/detail/87
2019-01-31,6,신한카드 Mr.Life,신한카드,https://card-gorilla.com/card/detail/13
2019-01-31,7,청춘대로 톡톡카드,KB국민카드,https://card-gorilla.com/card/detail/129
2019-01-31,8,플러스마일카드,SC제일은행,https://card-gorilla.com/card/detail/276
2019-01-31,9,현대카드ZERO(할인형),현대카드,https://card-gorilla.com/card/detail/410
2019-01-31,10,삼성카드 & MILEAGE PLATINUM (스카이패스),삼성카드,https://card-gorilla.com/card/detail/49
2019-01-31,11,D4@카드의정석,우리카드,https://card-gorilla.com/card/detail/88
2019-01-31,12,신한카드 B.Big(삑),신한카드,https://card-gorilla.com/card/detail/10
2019-01-31,13,굿데이카드,KB국민카드,https://card-gorilla.com/card/detail/106
2019-01-31,14,SKYPASS THE DREAM 롯데카드,롯데카드,None
2019-01-31,15,씨티 리워드,씨티카드,https://card-gorilla.com/card/detail/96
2019-01-31,16,신한카드 Deep Oil,신한카드,https://card-gorilla.com/card/detail/39
2019-01-31,17,쇼핑앤조이 카드,IBK기업은행,https://card-gorilla.com/card/detail/274
2019-01-31,18,I’m CHEERFUL,롯데카드,https://card-gorilla.com/card/detail/215
2019-01-31,19,LIKIT ALL 카드,롯데카드,None
2019-01-31,20,삼성카드 4V3,삼성카드,None
2019-01-31,21,the Green,현대카드,https://card-gorilla.com/card/detail/422
2019-01-31,22,신한카드 Hi-Point,신한카드,https://card-gorilla.com/card/detail/1
2019-01-31,23,탄탄대로 이지홈카드,KB국민카드,None
2019-01-31,24,일상의 기쁨카드(신용),IBK기업은행,https://card-gorilla.com/card/detail/266
2019-01-31,25,현대카드M Edition2,현대카드,None
2019-01-31,26,삼성카드 2V3(아지냥이 Edition),삼성카드,None
2019-01-31,27,씨티 NEW 프리미어마일 대한항공,씨티카드,https://card-gorilla.com/card/detail/102
2019-01-31,28,아시아나 신한카드 Air 1.5,신한카드,https://card-gorilla.com/card/detail/27
2019-01-31,29,롯데카드 텔로 SKT,롯데카드,None
2019-01-31,30,카드의정석 POINT,우리카드,https://card-gorilla.com/card/detail/84
2019-01-31,31,카드의정석 SHOPPING,우리카드,https://card-gorilla.com/card/detail/85
2019-01-31,32,I’m YOLO,롯데카드,None
2019-01-31,33,블루다이아몬드Ⅱ 카드,우리카드,None
2019-01-31,34,카드의정석 NEW우리V카드,우리카드,https://card-gorilla.com/card/detail/73
2019-01-31,35,신한카드 Love,신한카드,https://card-gorilla.com/card/detail/2
2019-01-31,36,현대카드ZERO MOBILE(포인트형),현대카드,https://card-gorilla.com/card/detail/418
2019-01-31,37,Liiv Mate카드,KB국민카드,None
2019-01-31,38,CLUB SK(클럽 SK)카드,하나카드,https://card-gorilla.com/card/detail/227
2019-01-31,39,굿데이올림카드,KB국민카드,https://card-gorilla.com/card/detail/115
2019-01-31,40,Smart Any 카드(스마트애니),하나카드,https://card-gorilla.com/card/detail/228
2019-01-31,41,신한카드 Air Platinum#,신한카드,https://card-gorilla.com/card/detail/12
2019-01-31,42,신한카드 RPM+ Platinum#,신한카드,https://card-gorilla.com/card/detail/16
2019-01-31,43,카드의정석 DISCOUNT,우리카드,https://card-gorilla.com/card/detail/86
2019-01-31,44,신한카드 The CLASSIC+,신한카드,https://card-gorilla.com/card/detail/15
2019-01-31,45,삼성카드4,삼성카드,None
2019-01-31,46,Mile 1.8 대한항공,하나카드,https://card-gorilla.com/card/detail/244
2019-01-31,47,삼성카드 taptap I,삼성카드,https://card-gorilla.com/card/detail/59
2019-01-31,48,NH올원 파이카드,NH농협카드,https://card-gorilla.com/card/detail/181
2019-01-31,49,신한카드 Deep On Platinum+,신한카드,https://card-gorilla.com/card/detail/41
2019-01-31,50,카드의정석 위비온 플러스,우리카드,https://card-gorilla.com/card/detail/90
2019-01-31,51,Mile 1.6 대한항공,하나카드,https://card-gorilla.com/card/detail/242
2019-01-31,52,The Easy카드,KB국민카드,https://card-gorilla.com/card/detail/146
2019-01-31,53,BAZIC(베이직)카드,NH농협카드,https://card-gorilla.com/card/detail/166
2019-01-31,54,신한카드 The BEST-F,신한카드,https://card-gorilla.com/card/detail/37
2019-01-31,55,FINETECH카드(대한항공),KB국민카드,https://card-gorilla.com/card/detail/119
2019-01-31,56,탄탄대로 온리유카드,KB국민카드,https://card-gorilla.com/card/detail/134
2019-01-31,57,ALL MY DRIVING,롯데카드,https://card-gorilla.com/card/detail/206
2019-01-31,58,청춘대로카드,KB국민카드,https://card-gorilla.com/card/detail/116
2019-01-31,59,뉴 에듀드림롯데카드,롯데카드,None
2019-01-31,60,통커 카드,하나카드,https://card-gorilla.com/card/detail/246
2019-01-31,61,VEEX 플래티넘 카드,롯데카드,None
2019-01-31,62,NH20 해봄카드,NH농협카드,https://card-gorilla.com/card/detail/184
2019-01-31,63,씨티 NEW 캐시백,씨티카드,https://card-gorilla.com/card/detail/100
2019-01-31,64,아시아나 삼성애니패스플래티늄카드,삼성카드,None
2019-01-31,65,신한카드 Simple+,신한카드,https://card-gorilla.com/card/detail/11
2019-01-31,66,신한카드 23.5°,신한카드,https://card-gorilla.com/card/detail/7
2019-01-31,67,신한카드 Deep Dream Platinum+,신한카드,https://card-gorilla.com/card/detail/40
2019-01-31,68,Mile 1.6 아시아나,하나카드,https://card-gorilla.com/card/detail/243
2019-01-31,69,삼성카드 5V3,삼성카드,None
2019-01-31,70,삼성카드 스페셜마일리지 (스카이패스),삼성카드,None
2019-01-31,71,현대카드M3 Edition2,현대카드,None
2019-01-31,72,American Express Green,삼성카드,None
2019-01-31,73,현대카드T3 Edition2,현대카드,None
2019-01-31,74,씨티 NEW 프리미어마일 아시아나,씨티카드,https://card-gorilla.com/card/detail/103
2019-01-31,75,신한카드 Noon,신한카드,https://card-gorilla.com/card/detail/25
2019-01-31,76,삼성카드 4V3(포인트),삼성카드,None
2019-01-31,77,다담카드,KB국민카드,https://card-gorilla.com/card/detail/121
2019-01-31,78,마일앤조이카드(대한항공),IBK기업은행,https://card-gorilla.com/card/detail/267
2019-01-31,79,신세계 씨티카드 콰트로,씨티카드,None
2019-01-31,80,LIKIT ON 카드,롯데카드,None
2019-01-31,81,신한카드 All Pass,신한카드,https://card-gorilla.com/card/detail/31
2019-01-31,82,하나멤버스 1Q(원큐) 카드 Shopping,하나카드,https://card-gorilla.com/card/detail/232
2019-01-31,83,올마이쇼핑 카드 (통신),롯데카드,https://card-gorilla.com/card/detail/198
2019-01-31,84,삼성카드 3V3(GS칼텍스),삼성카드,None
2019-01-31,85,SSG카드,SSGPAY. CARD,https://card-gorilla.com/card/detail/434
2019-01-31,86,현대카드X Edition2,현대카드,None
2019-01-31,87,TAKE(테이크)5카드,NH농협카드,None
2019-01-31,88,ALL MY LIVING,롯데카드,https://card-gorilla.com/card/detail/205
2019-01-31,89,신한카드 O2O,신한카드,https://card-gorilla.com/card/detail/19
2019-01-31,90,ALL MY DC,롯데카드,https://card-gorilla.com/card/detail/203
2019-01-31,91,I’m WONDERFUL,롯데카드,None
2019-01-31,92,NH올원 All100(올백)카드,NH농협카드,https://card-gorilla.com/card/detail/177
2019-01-31,93,NH올원 Shopping&11번가카드(R1타입),NH농협카드,None
2019-01-31,94,현대카드M2 Edition2,현대카드,None
2019-01-31,95,롯데 아이행복 카드,롯데카드,None
2019-01-31,96,아시아나 삼성지엔미플래티늄카드,삼성카드,https://card-gorilla.com/card/detail/50
2019-01-31,97,청춘대로 매니아i카드,KB국민카드,https://card-gorilla.com/card/detail/127
2019-01-31,98,마일앤조이카드(아시아나),IBK기업은행,https://card-gorilla.com/card/detail/268
2019-01-31,99,청춘대로 티타늄 카드,KB국민카드,None
2019-01-31,100,FINETECH카드(아시아나),KB국민카드,https://card-gorilla.com/card/detail/118
2019-02-28,1,LIKIT FUN 카드,롯데카드,None
2019-02-28,2,삼성카드 taptap O,삼성카드,https://card-gorilla.com/card/detail/51
2019-02-28,3,신한카드 Deep Dream,신한카드,https://card-gorilla.com/card/detail/32
2019-02-28,4,DA@카드의정석,우리카드,https://card-gorilla.com/card/detail/87
2019-02-28,5,NEW 씨티 클리어,씨티카드,https://card-gorilla.com/card/detail/101
