card_company,card_name,fee,perform,brand,point,convenience_store,cafe,food_delivery,medical,edu,life_finance,online,shopping,transportation,travel,streaming,beauty,sprots,enter,franchisee,rank_x,chart_in,rank_y,count
현대카드,대한항공카드 the First,500000,0,Mastercard,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,100.0,1,100,1
KB국민카드,ONE카드,15000,0,Mastercard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,1,100,1
삼성카드,K-패스 삼성카드,10000,40,Mastercard,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,100.0,1,100,1
삼성카드,taptap DRIVE,10000,30,VISA,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,99.0,1,99,2
KB국민카드,청춘대로 꿀맛α카드,15000,40,Mastercard,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,98.5,1,97,2
신한카드,신한카드 Deep Once,23000,40,Mastercard,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,98.0,1,98,1
KB국민카드,Easy pick카드,20000,50,Mastercard JCB,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,98.0,1,98,1
롯데카드,L.pay 롯데카드 Ⅱ,10000,30,VISA Mastercard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98.0,1,98,1
신한카드,신한카드 Globus,25000,0,Mastercard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0,1,97,1
KB국민카드,청춘대로 1코노미 카드,17000,40,Mastercard,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,97.0,1,96,3
신한카드,신한카드 Deep ECO,16000,0,VISA,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,97.0,1,97,2
신한카드,네이버페이 신한카드,30000,0,VISA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,96.0,1,96,1
삼성카드,아시아나 삼성지엔미플래티늄카드,20000,30,Mastercard,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,96.0,1,96,1
롯데카드,LOCA Mobility 반띵 카드,17000,40,Mastercard AMEX,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,96.0,1,94,3
NH농협카드,Shopping Save카드,8000,10,VISA Mastercard,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,96.0,1,96,1
신한카드,신한카드 Cube Platinum#,32000,30,VISA Mastercard AMEX,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,95.66666667,1,92,3
KB국민카드,청춘대로 매니아i카드,15000,40,Mastercard UnionPay,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,94.5,1,90,4
신한카드,신한카드 Unboxing,35000,40,AMEX,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,1,94,2
현대카드,에너지플러스카드 Edition2,10000,30,VISA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,94.0,1,94,1
하나카드,#MY WAY 카드,20000,20,VISA,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,93.66666667,1,85,3
우리카드,카드의정석 댕댕냥이(고양이),12000,30,VISA Mastercard UnionPay,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,93.66666667,1,90,3
IBK기업은행,K-22(Mileage),220000,50,BC Mastercard,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,93.0,1,93,1
신한카드,신한카드 Shopping,20000,50,VISA,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,92.5,1,85,4
롯데카드,쿠팡 롯데카드,10000,20,VISA UnionPay,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,92.5,1,86,2
KB국민카드,FINETECH카드(아시아나),25000,0,Mastercard,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,91.0,1,75,5
롯데카드,SKYPASS 롯데 아멕스카드,20000,0,AMEX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.54545455,1,78,11
KB국민카드,와이즈카드,10000,0,VISA Mastercard AMEX UnionPay JCB,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,90.5,1,81,2
NH농협카드,스카이패스카드,15000,0,VISA Mastercard JCB,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,90.4375,1,74,16
현대카드,현대카드ZERO MOBILE Edition2(포인트형),10000,0,VISA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90.09090909,1,78,11
우리카드,우리Most카드,20000,30,VISA BC UnionPay,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,90.0,1,89,3
SC제일은행,뉴타임카드,10000,30,VISA BC BC Global Mastercard,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,90.0,1,85,4
BC 바로카드,BC 바로 에어 플러스 아시아나,19000,0,BC Mastercard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89.66666667,1,81,3
롯데카드,ALL MY DC,18000,50,VISA Mastercard AMEX,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,89.5,1,83,4
하나카드,JADE Classic,120000,0,VISA,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,89.0,1,89,1
KB국민카드,Easy link 티타늄카드,32000,50,Mastercard UnionPay,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,89.0,1,85,3
신한카드,신한카드 B.Big(마이펫 스노우볼 삑),13000,30,VISA,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,89.0,1,72,7
KB국민카드,톡톡 my living카드,12000,30,Mastercard,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,89.0,1,89,1
하나카드,원더카드 HAPPY,12000,40,Mastercard,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,89.0,1,89,1
현대카드,the Purple osée,800000,0,VISA Mastercard,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,88.6,1,74,10
KB국민카드,가온글로벌카드,20000,0,Mastercard,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,88.33333333,1,78,3
신한카드,신한카드 Puzzle,18000,0,Mastercard,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,88.16666667,1,78,6
신한카드,신한카드 YaY,26000,50,VISA,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,88.14285714,1,71,7
삼성카드,삼성 iD EDU 카드,30000,50,VISA,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,88.0,1,80,2
삼성카드,삼성 iD VITA 카드,20000,50,Mastercard UnionPay,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,87.625,1,75,8
KB국민카드,가온올림카드(실속형),15000,0,VISA Mastercard UnionPay,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,87.5,1,84,4
롯데카드,올마이쇼핑 카드 (통신),15000,50,Mastercard,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,87.5,1,83,6
KB국민카드,Easy all 카드,20000,50,VISA UnionPay,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,87.33333333,1,80,6
하나카드,#tag1카드 Orange,12000,30,Mastercard UnionPay,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,87.28571429,1,63,28
NH농협카드,위카드,200000,0,VISA Mastercard UnionPay JCB,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,87.0,1,71,6
현대카드,대한항공카드 150,150000,0,Mastercard,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,86.65217391,1,70,23
하나카드,토스 신용카드,10000,0,VISA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86.33333333,1,81,3
KB국민카드,톡톡 my point카드,12000,0,Mastercard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86.27272727,1,65,11
롯데카드,샤롯데 플래티넘 스타 카드,35000,0,AMEX,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,86.0,1,86,1
현대카드,현대카드 MY BUSINESS ZERO Food&Drink,30000,0,VISA Mastercard,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86.0,1,86,1
하나카드,1Q Global VIVA,15000,30,Mastercard,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,85.875,1,56,8
신한카드,카카오뱅크 신한카드,15000,0,VISA Mastercard,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,85.83333333,1,68,24
롯데카드,롯데 국민행복카드,0,30,Mastercard,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,85.66666667,1,64,3
IBK기업은행,BLISS.7 카드(포인트),190000,0,VISA BC Global,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.5,1,72,2
